"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 01:17:20 GMT 2024","Thu Jun 20 01:18:19 GMT 2024","58073","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Thu Jun 20 01:21:40 GMT 2024","Thu Jun 20 01:22:31 GMT 2024","50551","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Thu Jun 20 01:20:49 GMT 2024","Thu Jun 20 01:21:34 GMT 2024","45525","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Thu Jun 20 01:19:11 GMT 2024","Thu Jun 20 01:20:02 GMT 2024","51291","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Thu Jun 20 01:20:15 GMT 2024","Thu Jun 20 01:20:49 GMT 2024","34078","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Thu Jun 20 01:22:31 GMT 2024","Thu Jun 20 01:23:03 GMT 2024","32511","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Thu Jun 20 01:20:09 GMT 2024","Thu Jun 20 01:20:14 GMT 2024","5553","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"passed","Thu Jun 20 01:23:03 GMT 2024","Thu Jun 20 01:23:58 GMT 2024","54843","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Thu Jun 20 01:18:19 GMT 2024","Thu Jun 20 01:18:24 GMT 2024","5288","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"failed","Thu Jun 20 01:15:37 GMT 2024","Thu Jun 20 01:16:20 GMT 2024","42953","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Thu Jun 20 01:23:58 GMT 2024","Thu Jun 20 01:24:07 GMT 2024","8936","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"passed","Thu Jun 20 01:18:24 GMT 2024","Thu Jun 20 01:19:11 GMT 2024","47057","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Thu Jun 20 01:16:26 GMT 2024","Thu Jun 20 01:17:20 GMT 2024","54702","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
