"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 01:23:15 GMT 2024","Tue Jun 25 01:23:50 GMT 2024","34740","SaaS Subscription (Template)","","","","","TC6 - Verify user is able to update/edit the saved SaaS subscription form template",""
"passed","Tue Jun 25 01:19:12 GMT 2024","Tue Jun 25 01:19:58 GMT 2024","46014","Create SaaS Contract","","","","","TC12 - Verify user can create a SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA",""
"passed","Tue Jun 25 01:21:02 GMT 2024","Tue Jun 25 01:21:35 GMT 2024","32686","Create SaaS Subscription","","","","","TC3 - Verify user can submit the SAAS subscription form by filling out only mandatory fields and selecting the ""Use Standard Contract for AWS Marketplace"" option and ""No"" options for the support offered.",""
"passed","Tue Jun 25 01:18:12 GMT 2024","Tue Jun 25 01:19:06 GMT 2024","54282","Create SaaS Contract","","","","","TC10 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose one tier"" option as contract type along with Custom EULA option",""
"passed","Tue Jun 25 01:19:06 GMT 2024","Tue Jun 25 01:19:12 GMT 2024","5727","Create SaaS Contract","","","","","TC11 - Verify user is unable to create the SaaS contract request without selecting the contract duration and with blank mandatory fields",""
"passed","Tue Jun 25 01:22:26 GMT 2024","Tue Jun 25 01:23:15 GMT 2024","48985","SaaS Subscription (Template)","","","","","TC5 - Verify user is able to save the feenix SaaS subscription forms as a template with new seller account",""
"passed","Tue Jun 25 01:19:58 GMT 2024","Tue Jun 25 01:20:49 GMT 2024","51020","Create SaaS Contract","","","","","TC13 - Verify user can create SAAS contract request without usage by selecting all contract duration options with ""Buyer can choose only one tier"" option as contract type and along with Custom EULA",""
"passed","Tue Jun 25 01:24:46 GMT 2024","Tue Jun 25 01:24:55 GMT 2024","9314","SaaS Subscription (Template)","","","","","TC8 - Verify user is able to create a Listing with the ""Template 2"" form after switching between ""Template 1"" and ""Template 2""",""
"passed","Tue Jun 25 01:21:35 GMT 2024","Tue Jun 25 01:22:20 GMT 2024","45302","Create SaaS Subscription","","","","","TC4 - Verify user can submit the SAAS subscription form by filling the all required and optional fields and selecting the ""Use your own EULA"" option and with the support offered ""Yes""",""
"passed","Tue Jun 25 01:23:50 GMT 2024","Tue Jun 25 01:24:46 GMT 2024","55502","SaaS Subscription (Template)","","","","","TC7 - Verify additional fields can be updated without saving the template and a listing can be created",""
"passed","Tue Jun 25 01:20:56 GMT 2024","Tue Jun 25 01:21:02 GMT 2024","6084","Create SaaS Subscription","","","","","TC2 - Verify user is unable to submit the SaaS subscription form with blank mandatory fields",""
"failed","Tue Jun 25 01:16:32 GMT 2024","Tue Jun 25 01:17:15 GMT 2024","42997","Authorization","","","","","TC1 - Verify user is able to login with valid email and valid password",""
"passed","Tue Jun 25 01:17:21 GMT 2024","Tue Jun 25 01:18:12 GMT 2024","50359","Create SaaS Contract","","","","","TC9 - Verify user can create a SAAS contract request with usage by selecting all contract duration options with ""Buyer can choose multiple options"" option as contract type along with Standard EULA option",""
